series_name,include_main_full_ext,fred_group,uv_nbreaks,uv_break_dates,uv_break_stats,uv_break_pvals,cv_nbreaks,cv_break_dates,cv_break_stats,cv_break_pvals
EXUSUKx,1,Interest and Exchange Rates,4,01-Apr-1969 | 01-May-1979 | 01-Apr-1993 | 01-May-2003,27.322 | 25.042 | 42.15 | 8.547,0 | 1e-06 | 0 | 0.003461,3,01-May-1972 | 01-Mar-1983 | 01-Jun-1993,76.211 | 10.697 | 17.15,0 | 0.001073 | 3.5e-05
EXCAUSx,1,Interest and Exchange Rates,5,01-Aug-1962 | 01-Dec-1973 | 01-Aug-1992 | 01-Jan-2003 | 01-Dec-2015,10.288 | 78.276 | 3.763 | 20.73 | 5.755,0.001339 | 0 | 0.052394 | 5e-06 | 0.016437,4,01-Mar-1975 | 01-Aug-1992 | 01-Jan-2003 | 01-Feb-2013,59.255 | 2.342 | 18.399 | 3.518,0 | 0.12596 | 1.8e-05 | 0.060724
WPSFD49207,1,Prices,2,01-Apr-1975 | 01-Jan-2000,5.913 | 49.288,0.015026 | 0,1,01-Sep-2004,31.618,0
WPSFD49502,1,Prices,2,01-Apr-1975 | 01-Jan-2000,6.721 | 54.354,0.009526 | 0,3,01-May-1976 | 01-Dec-1988 | 01-Sep-2004,2.827 | 2.059 | 30.244,0.092688 | 0.15134 | 0
WPSID61,1,Prices,2,01-Nov-1975 | 01-Dec-2002,2.676 | 44.275,0.10185 | 0,3,01-Aug-1972 | 01-Aug-1982 | 01-Dec-2002,8.673 | 4.175 | 39.822,0.00323 | 0.041021 | 0
WPSID62,1,Prices,2,01-Mar-1973 | 01-Feb-1996,8.695 | 21.905,0.003192 | 3e-06,3,01-Oct-1972 | 01-Oct-1982 | 01-Oct-1996,9.987 | 1.55 | 34.041,0.001576 | 0.2131 | 0
OILPRICEx,1,Prices,2,01-Jul-1973 | 01-Nov-1985,11.958 | 11.315,0.000544 | 0.000769,3,01-Jun-1964 | 01-May-1974 | 01-Nov-1985,15.497 | 3.188 | 49.75,8.3e-05 | 0.074158 | 0
PPICMM,1,Prices,2,01-Jan-1973 | 01-Mar-1999,21.325 | 19.147,4e-06 | 1.2e-05,3,01-Jan-1973 | 01-Apr-1987 | 01-Feb-2006,7.984 | 7.901 | 5.039,0.00472 | 0.00494 | 0.024778
CPIAUCSL,1,Prices,0,,,,0,,,
CPIAPPSL,1,Prices,1,01-Nov-1987,70.446,0,2,01-Apr-1974 | 01-Feb-1988,15.492 | 22.647,8.3e-05 | 2e-06
CPITRNSL,1,Prices,1,01-Feb-2000,47.435,0,3,01-Mar-1980 | 01-Jun-1991 | 01-Jul-2001,4.955 | 1.3 | 33.972,0.026019 | 0.25413 | 0
CPIMEDSL,1,Prices,2,01-Apr-1978 | 01-Feb-2013,75.236 | 26.362,0 | 0,5,01-Feb-1974 | 01-Jun-1984 | 01-Jul-1994 | 01-Jan-2005 | 01-Jan-2015,0.865 | 29.032 | 0.742 | 6.421 | 18.887,0.35222 | 0 | 0.3891 | 0.011275 | 1.4e-05
CUSR0000SAC,1,Prices,1,01-Mar-1999,33.446,0,3,01-Mar-1973 | 01-May-1987 | 01-Jun-1999,11.258 | 3.237 | 38.459,0.000793 | 0.072008 | 0
CUSR0000SAD,1,Prices,0,,,,0,,,
CUSR0000SAS,1,Prices,5,01-May-1970 | 01-May-1973 | 01-May-1983 | 01-Feb-2006 | 01-Nov-2019,22.912 | 12.833 | 20.674 | 23.423 | 25.521,2e-06 | 0.000341 | 5e-06 | 1e-06 | 0,1,01-Mar-1984,37.506,0
CPIULFSL,1,Prices,5,01-May-1987 | 01-Mar-1999 | 01-Aug-2009 | 01-Apr-2012 | 01-Aug-2023,13.1 | 27.951 | 30.125 | 13.397 | 12.993,0.000295 | 0 | 0 | 0.000252 | 0.000313,1,01-Jun-1999,9.4,0.00217
CUSR0000SA0L2,1,Prices,5,01-Sep-1975 | 01-Jun-1995 | 01-Jun-2005 | 01-Aug-2009 | 01-Apr-2023,4.88 | 6.709 | 13.324 | 11.837 | 11.352,0.027162 | 0.009595 | 0.000262 | 0.000581 | 0.000754,2,01-Apr-1987 | 01-Jun-1999,14.189 | 32.271,0.000165 | 0
CUSR0000SA0L5,1,Prices,0,,,,0,,,
PCEPI,1,Prices,1,01-Jun-1972,17.594,2.7e-05,1,01-Feb-1973,30.181,0
DDURRG3M086SBEA,1,Prices,2,01-Mar-2002 | 01-Aug-2015,14.308 | 35.865,0.000155 | 0,2,01-Jun-1981 | 01-Jan-2016,7.572 | 21.202,0.005928 | 4e-06
DNDGRG3M086SBEA,1,Prices,4,01-Dec-1972 | 01-Jan-1986 | 01-Mar-1999 | 01-Aug-2009,3.243 | 0.27 | 23.148 | 10.326,0.071736 | 0.60332 | 2e-06 | 0.001312,3,01-Jan-1973 | 01-Jan-1983 | 01-Apr-1999,10.871 | 1.824 | 22.572,0.000977 | 0.17685 | 2e-06
DSERRG3M086SBEA,1,Prices,4,01-Sep-1969 | 01-Dec-1972 | 01-Sep-1978 | 01-Oct-1988,14.498 | 28.902 | 13.478 | 24.666,0.00014 | 0 | 0.000241 | 1e-06,3,01-Jan-1973 | 01-Oct-1978 | 01-Oct-1988,25.731 | 10.091 | 28.181,0 | 0.00149 | 0
CES0600000008,1,Labor Market,1,01-Jun-1982,30.911,0,1,01-May-1983,38.003,0
CES2000000008,1,Labor Market,1,01-Apr-1969,16.415,5.1e-05,1,01-Apr-1988,48.632,0
CES3000000008,1,Labor Market,1,01-Mar-1982,27.045,0,1,01-Apr-1982,34.531,0
UMCSENTx,0,Orders and Inventories,NaN,,,,NaN,,,
DTCOLNVHFNM,1,Money and Credit,3,01-Sep-1976 | 01-Dec-1988 | 01-Jan-2011,6.705 | 2.575 | 17.773,0.009615 | 0.10855 | 2.5e-05,3,01-Oct-1976 | 01-Feb-1998 | 01-May-2011,43.788 | 3.281 | 16.027,0 | 0.070098 | 6.2e-05
DTCTHFNM,1,Money and Credit,1,01-Dec-1974,8.809,0.002997,2,01-Sep-1962 | 01-Jan-1974,4.412 | 22.736,0.035687 | 2e-06
INVEST,1,Money and Credit,3,01-Oct-1978 | 01-Jan-1994 | 01-Jul-2009,65.616 | 22.924 | 15.408,0 | 2e-06 | 8.7e-05,1,01-Mar-1973,10.591,0.001137
VIXCLSx,1,Stock Market,2,01-Mar-1975 | 01-Sep-1987,27.178 | 29.152,0 | 0,0,,,
